Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Kelsey Griffin,2013.0,F,34,25.4,8.7,3.2,7.2,44.3,0.4,1.1,30.8,1.9,2.6,73.3,5.0,0.9,1.2,0.7,1.0
Karima Christmas-Kelly,2013.0,F,34,26.9,8.6,3.0,8.0,37.3,0.9,2.9,30.0,1.8,2.2,81.1,4.1,1.1,1.9,0.3,1.2
Skylar Diggins-Smith,2013.0,G,32,26.4,8.5,2.8,8.5,32.8,0.6,2.4,24.4,2.3,2.8,83.3,1.9,3.8,1.3,0.3,2.9
Jasmine Thomas,2013.0,G,34,27.5,8.5,3.5,9.8,35.9,0.5,2.2,21.6,0.9,1.4,69.6,3.0,3.1,0.9,0.3,2.1
Alex Bentley,2013.0,G,34,22.1,8.3,3.3,8.4,39.8,0.8,2.5,32.9,0.8,1.1,71.1,1.4,2.8,1.0,0.1,1.1
Erlana Larkins,2013.0,F,34,30.1,7.9,3.0,5.6,54.5,0.0,0.0,0.0,1.9,2.6,70.8,7.8,1.9,1.4,0.3,1.4
Shameka Christon,2013.0,F,33,22.4,7.5,2.5,8.1,30.7,1.5,4.7,32.1,1.0,1.2,86.8,1.7,0.7,0.5,0.3,0.7
Jantel Lavender,2013.0,F,34,16.8,7.2,3.1,6.2,50.7,0.0,0.0,0.0,0.9,1.1,86.5,4.5,0.5,0.6,0.6,1.1
Mistie McCray Bass,2013.0,F,33,18.0,7.0,2.8,5.2,55.0,0.0,0.0,0.0,1.3,2.1,60.9,4.4,1.0,0.7,0.9,1.5
Armintie Herrington,2013.0,G,28,29.9,7.0,2.8,6.0,46.7,0.0,0.0,0.0,1.4,2.4,59.1,3.4,2.4,2.3,0.1,1.9
Kelsey Bone,2013.0,C,34,19.5,6.9,2.9,6.3,46.0,0.0,0.0,0.0,1.1,1.7,63.2,5.4,0.7,0.4,0.4,1.5
Kia Vaughn,2013.0,C,34,20.1,6.9,2.9,6.9,42.5,0.0,0.0,0.0,1.0,1.4,76.1,5.2,0.6,0.7,1.1,1.5
Tayler Hill,2013.0,G,34,17.4,6.5,1.9,5.6,32.8,1.0,3.1,33.3,1.7,2.1,84.3,1.7,1.5,0.7,0.1,1.1
Nicole Powell,2013.0,F,32,22.4,6.4,2.3,5.6,40.6,1.2,3.3,36.2,0.7,0.8,81.5,3.7,1.3,0.8,0.2,0.9
Janel McCarville,2013.0,C,32,22.0,6.3,2.5,5.1,48.8,0.2,0.4,42.9,1.2,1.4,80.4,4.3,2.9,1.0,0.7,1.3
Alana Beard,2013.0,G,32,22.0,6.2,2.7,5.8,45.9,0.0,0.3,12.5,0.9,1.1,82.4,2.3,1.4,1.3,0.3,1.3
Katie Smith,2013.0,G,34,26.6,6.1,2.2,6.0,37.4,0.8,2.6,31.5,0.8,1.0,84.8,1.9,1.8,0.7,0.2,1.3
Alex Montgomery,2013.0,F,34,23.0,6.1,2.5,6.6,38.4,0.4,1.3,30.2,0.6,0.8,84.6,5.2,1.7,0.6,0.2,1.7
Iziane Castro,2013.0,G,28,15.8,6.0,2.1,5.9,35.2,0.5,1.6,32.6,1.3,1.8,72.5,1.7,1.0,0.5,0.1,1.3
Charde Houston,2013.0,F,34,17.2,5.9,2.3,5.7,40.0,0.3,1.5,18.0,1.0,1.3,77.8,2.3,1.3,0.5,0.4,1.6
Jayne Appel-Marinelli,2013.0,C,29,26.5,5.9,2.4,4.2,57.9,0.0,0.1,33.3,1.0,1.7,59.2,8.9,2.0,0.9,1.3,1.5
Tamera Young,2013.0,F,33,18.1,5.6,2.5,5.8,42.6,0.0,0.0,0.0,0.7,1.2,60.5,3.8,0.6,0.5,0.2,0.7
Noelle Quinn,2013.0,G,34,25.6,5.4,2.1,5.8,35.4,0.4,1.6,23.2,0.9,1.1,84.2,4.9,1.6,0.8,0.2,1.2
Jessica Breland,2013.0,F,30,14.6,5.3,2.3,5.2,43.9,0.0,0.0,0.0,0.7,0.9,74.1,4.0,0.6,0.6,1.0,1.1
Michelle Snow,2013.0,C,34,16.7,5.1,2.1,4.5,47.4,0.0,0.0,0.0,0.8,1.0,82.4,4.8,0.6,0.5,0.7,1.0
Kalana Greene,2013.0,G,34,26.1,5.1,2.1,5.1,40.7,0.1,0.8,15.4,0.9,1.2,73.2,3.7,1.5,1.1,0.4,1.1
Leilani Mitchell,2013.0,G,34,18.6,5.0,1.6,3.9,40.6,0.9,2.5,37.6,0.9,1.0,85.7,2.1,1.9,0.8,0.1,1.0
Roneeka Hodges,2013.0,F,33,17.1,5.0,1.8,4.5,38.7,1.2,3.5,36.0,0.2,0.2,87.5,1.2,1.0,0.5,0.1,0.5
Marissa Coleman,2013.0,G,34,17.5,4.6,1.7,4.0,43.0,0.6,1.5,40.0,0.6,1.0,63.6,2.9,1.0,0.7,0.1,0.9
Davellyn Whyte,2013.0,G,29,14.9,4.5,1.4,4.5,32.3,0.6,2.1,30.0,1.0,1.3,75.7,1.9,1.8,0.7,0.2,1.4
Tierra Ruffin-Pratt,2013.0,G,34,14.8,4.4,1.5,4.2,35.9,0.0,0.2,14.3,1.4,1.8,78.3,2.8,0.8,0.6,0.2,0.6
Angel Goodrich,2013.0,F,31,21.9,4.4,1.9,4.4,42.3,0.3,1.0,25.0,0.4,0.7,54.5,1.8,2.9,1.2,0.1,1.7
Emma Meesseman,2013.0,F,34,14.6,4.4,1.9,4.4,44.6,0.0,0.1,0.0,0.5,0.6,81.0,3.1,1.2,0.6,0.7,0.9
Briana Butler,2013.0,G,34,22.4,4.4,1.8,4.5,39.5,0.4,1.5,25.5,0.4,0.7,62.5,3.2,1.5,0.7,0.4,0.7
Layshia Clarendon,2013.0,G,30,19.4,4.2,1.8,5.5,33.1,0.2,0.9,25.9,0.3,0.7,40.9,1.8,1.8,0.5,0.0,1.3
Le'coe Willingham,2013.0,F,34,22.2,4.1,1.6,3.9,42.4,0.4,1.4,30.4,0.4,0.6,71.4,4.2,0.8,0.8,0.3,1.2
Devereaux Peters,2013.0,F,34,18.6,4.1,1.7,4.4,39.6,0.0,0.0,0.0,0.7,0.8,85.2,4.6,1.1,0.7,1.0,0.9
Toni Young,2013.0,F,31,11.1,4.1,1.9,3.9,47.5,0.0,0.0,0.0,0.4,0.6,66.7,1.9,0.5,0.3,0.3,0.8
Alysha Clark,2013.0,F,33,15.3,4.0,1.5,3.2,45.3,0.5,1.2,39.0,0.6,0.8,76.0,2.5,0.4,0.4,0.2,1.1
Aneika Henry-Morello,2013.0,F,34,12.8,3.9,1.6,3.5,45.0,0.0,0.0,0.0,0.8,1.0,76.5,3.9,0.5,0.3,0.5,0.8
Jennifer Lacy,2013.0,F,32,14.1,3.9,1.4,4.3,32.4,0.6,2.2,25.4,0.6,0.7,81.8,1.3,0.7,0.2,0.2,0.7
Allie Quigley,2013.0,G,34,9.4,3.8,1.4,4.5,31.6,0.5,1.6,31.5,0.5,0.5,88.9,0.7,0.6,0.4,0.1,0.6
Tianna Hawkins,2013.0,F,33,9.7,3.4,1.5,2.8,52.7,0.2,0.6,23.8,0.3,0.4,84.6,1.6,0.2,0.3,0.1,0.7
Shay Murphy,2013.0,F,34,11.1,3.1,1.1,3.8,29.2,0.3,1.7,17.2,0.6,0.7,79.2,1.9,0.3,0.6,0.0,0.4
Ebony Hoffman,2013.0,F,33,12.5,3.1,1.4,3.3,42.6,0.0,0.4,7.1,0.2,0.3,88.9,1.9,1.0,0.5,0.3,0.7
Alexis Hornbuckle,2013.0,G,30,12.3,3.0,1.0,3.1,32.6,0.3,1.2,27.8,0.7,1.0,70.0,1.7,1.3,0.4,0.1,1.3
Jenna O'Hea,2013.0,G,29,13.7,3.0,1.0,2.2,43.8,0.7,1.4,50.0,0.3,0.5,66.7,1.7,1.1,0.3,0.2,0.6
Nadirah McKenith,2013.0,G,32,8.8,2.8,0.9,2.4,37.2,0.2,0.7,31.8,0.8,1.1,73.5,1.1,1.0,0.6,0.1,0.7
Kayla Alexander,2013.0,C,33,11.2,2.8,1.1,2.5,41.7,0.0,0.0,0.0,0.7,0.9,73.3,3.0,0.3,0.1,0.4,1.1
Kayla Pedersen,2013.0,F,25,10.8,2.6,0.9,2.5,36.5,0.0,0.0,0.0,0.8,1.1,71.4,2.6,0.7,0.6,0.2,0.8
Lynetta Kizer,2013.0,F,27,9.9,2.6,1.1,2.6,44.9,0.0,0.0,0.0,0.3,0.5,64.3,2.1,0.2,0.4,0.2,0.8
Kamiko Williams,2013.0,G,34,13.3,2.6,1.1,3.6,32.2,0.2,0.7,26.1,0.1,0.2,57.1,2.1,0.9,0.7,0.2,0.9
Amber Harris,2013.0,F,30,8.8,2.4,0.9,2.4,37.5,0.1,0.5,14.3,0.5,0.7,71.4,1.5,0.7,0.1,0.2,0.5
Krystal Thomas,2013.0,C,34,13.9,2.3,1.0,1.9,51.6,0.0,0.0,0.0,0.4,0.9,41.9,4.1,0.2,0.2,0.5,0.9
A'dia Mathies,2013.0,G,30,9.2,2.3,0.8,2.3,35.3,0.1,0.5,25.0,0.5,0.8,64.0,0.7,0.8,0.3,0.1,0.6
Courtney Clements,2013.0,G,26,9.4,2.2,0.8,3.8,20.2,0.3,1.5,23.1,0.3,0.5,75.0,0.9,0.3,0.2,0.1,0.3
Sugar Rodgers,2013.0,G,28,7.6,1.9,0.7,2.1,31.7,0.4,1.1,31.3,0.1,0.3,57.1,1.4,0.5,0.5,0.3,0.4
Sasha Goodlett,2013.0,C,25,7.5,1.8,0.8,2.1,35.8,0.0,0.0,0.0,0.2,0.3,85.7,1.6,0.2,0.1,0.1,0.4
Michelle Campbell,2013.0,F,31,7.7,1.7,0.5,1.6,31.4,0.0,0.0,0.0,0.7,1.0,73.3,1.5,0.2,0.2,0.2,0.5
Rachel Jarry,2013.0,F,27,6.8,1.7,0.6,1.3,44.4,0.2,0.4,60.0,0.3,0.3,77.8,0.7,0.4,0.2,0.1,0.5
Maya Moore,2014.0,F,34,34.7,23.9,8.7,18.0,48.1,1.8,5.4,33.5,4.7,5.3,88.4,8.1,3.4,1.9,0.8,2.4
Skylar Diggins-Smith,2014.0,G,34,35.1,20.1,6.8,16.1,42.4,1.0,3.4,28.4,5.5,6.5,84.2,2.5,5.0,1.5,0.6,2.9
Candace Parker,2014.0,F,30,33.2,19.4,7.2,15.4,46.9,0.6,2.1,30.6,4.4,5.2,84.6,7.1,4.3,1.8,1.4,2.6
Angel McCoughtry,2014.0,F,31,31.4,18.5,6.6,15.8,42.0,1.0,3.4,29.5,4.2,5.2,80.9,5.2,3.6,2.4,0.4,3.7
Tina Charles,2014.0,C,34,32.9,17.4,6.9,15.0,46.2,0.0,0.0,0.0,3.5,4.6,75.2,9.4,2.2,1.3,0.9,2.3
Odyssey Sims,2014.0,G,34,34.4,16.7,5.9,14.6,40.6,1.4,4.0,34.6,3.5,4.2,83.9,2.8,4.2,1.3,0.3,2.1
Seimone Augustus,2014.0,G,24,31.2,16.5,7.1,13.9,51.1,0.5,1.5,33.3,1.8,2.2,84.6,3.6,2.4,0.4,0.1,1.6
Diana Taurasi,2014.0,G,33,30.9,16.2,5.2,11.4,45.4,1.9,5.2,36.5,4.0,4.6,87.4,3.8,5.6,0.7,0.3,2.6
Nneka Ogwumike,2014.0,F,33,27.6,15.8,6.2,11.9,52.0,0.1,0.3,30.0,3.3,3.8,87.3,7.1,1.5,1.8,0.5,2.1
Brittney Griner,2014.0,C,34,30.7,15.6,6.4,11.1,57.8,0.0,0.0,0.0,2.7,3.4,80.2,8.0,1.6,0.6,3.8,1.9
Chiney Ogwumike,2014.0,F,31,29.7,15.5,6.3,11.8,53.6,0.0,0.0,0.0,2.8,4.1,69.3,8.5,0.6,1.2,1.2,1.9
Epiphanny Prince,2014.0,G,26,32.3,15.0,4.7,12.3,38.3,1.2,3.8,32.7,4.3,5.0,87.6,3.0,3.8,1.9,0.4,1.7
Glory Johnson,2014.0,F,33,32.4,14.7,5.2,11.7,44.9,0.0,0.1,0.0,4.2,5.5,76.0,9.2,1.4,1.4,0.4,2.6
Candice Dupree,2014.0,F,34,31.2,14.5,6.2,11.6,53.3,0.0,0.0,0.0,2.1,2.5,84.9,7.6,2.4,0.9,0.5,1.4
Lindsay Whalen,2014.0,G,34,30.6,14.1,5.3,11.0,48.0,0.0,0.3,10.0,3.4,4.5,77.0,4.2,5.5,0.9,0.1,1.8
Erika de Souza,2014.0,F,33,29.9,13.8,5.8,10.7,54.5,0.0,0.0,0.0,2.2,3.1,70.6,8.7,1.2,1.1,1.5,1.8
Cappie Pondexter,2014.0,G,34,30.9,13.2,4.7,12.2,38.8,0.7,2.4,27.7,3.0,3.9,76.9,3.4,3.9,1.0,0.1,2.6
Katie Douglas,2014.0,G,32,32.5,13.2,4.2,11.7,35.9,2.0,5.6,36.0,2.8,3.3,84.8,3.3,2.2,0.9,0.4,2.2
Kayla McBride,2014.0,G,34,26.0,13.0,4.5,11.1,40.6,1.7,4.2,39.6,2.3,2.7,84.6,2.3,1.7,1.0,0.1,1.2
Danielle Robinson,2014.0,G,33,33.1,12.9,5.0,10.9,45.7,0.0,0.2,0.0,2.9,3.1,94.1,3.5,5.3,1.7,0.2,2.4
Camille Little,2014.0,F,33,30.8,12.9,4.4,9.9,44.8,0.8,2.4,33.8,3.2,4.0,79.7,4.3,1.6,1.0,0.4,2.4
Crystal Langhorne,2014.0,F,34,28.9,12.9,5.3,9.3,57.1,0.1,0.1,66.7,2.2,3.4,65.8,7.4,1.0,0.6,0.4,2.0
Tiffany Hayes,2014.0,G,34,28.4,12.9,4.2,9.1,46.4,1.2,3.3,35.7,3.3,4.3,76.0,3.0,2.5,1.0,0.3,1.2
Ivory Latta,2014.0,G,34,31.7,12.8,4.1,10.4,39.5,2.4,6.3,37.7,2.2,2.6,83.3,2.4,3.3,0.7,0.0,1.9
Jia Perkins,2014.0,G,23,22.6,12.5,4.7,10.5,44.2,1.7,4.1,41.1,1.5,1.7,89.5,2.3,1.7,1.5,0.2,1.0
Alex Bentley,2014.0,G,34,25.6,12.2,5.1,11.8,43.3,0.9,2.8,32.3,1.1,1.4,75.5,1.7,3.7,1.3,0.1,2.0
Sancho Lyttle,2014.0,F,34,31.3,12.2,5.3,11.5,45.9,0.1,0.3,27.3,1.6,2.4,66.3,9.0,2.4,2.2,0.6,1.4
Jantel Lavender,2014.0,F,34,28.3,11.9,5.1,9.7,52.7,0.0,0.1,20.0,1.6,2.0,79.4,6.3,1.5,0.5,0.8,1.9
Kristi Toliver,2014.0,G,27,28.5,11.8,4.3,9.6,44.2,1.7,4.3,39.3,1.6,1.9,84.3,2.1,4.1,1.1,0.0,1.7
Allie Quigley,2014.0,G,34,24.8,11.2,4.2,9.5,44.4,1.2,3.1,38.7,1.5,1.7,87.9,2.2,1.9,0.7,0.2,1.8
Shavonte Zellous,2014.0,G,34,27.4,11.0,3.9,9.4,41.1,0.7,2.4,30.5,2.6,3.3,78.4,2.8,2.1,0.7,0.5,1.6
Danielle Adams,2014.0,F,34,20.6,10.9,4.0,9.8,40.7,1.1,3.7,30.7,1.9,2.3,79.7,4.1,0.9,0.6,0.7,1.3
Sue Bird,2014.0,G,33,29.2,10.6,3.9,10.1,38.6,1.2,3.4,34.5,1.6,2.0,83.1,2.2,4.0,0.8,0.0,2.3
Penny Taylor,2014.0,F,33,23.4,10.5,3.5,7.2,47.9,0.9,2.5,35.7,2.7,3.2,84.8,3.1,3.1,1.2,0.5,1.7
DeWanna Bonner,2014.0,F,34,29.2,10.4,3.8,8.3,45.9,0.7,2.5,27.9,2.1,2.7,78.0,4.1,2.3,1.4,0.4,1.4
Briann January,2014.0,G,31,28.8,10.3,3.5,9.1,38.7,1.2,3.0,38.3,2.1,2.4,88.0,1.6,3.7,1.2,0.3,2.3
Emma Meesseman,2014.0,F,34,27.4,10.1,4.3,8.3,52.0,0.0,0.1,0.0,1.5,1.6,90.9,6.4,2.5,1.4,1.0,1.8
Alyssa Thomas,2014.0,F,34,27.3,10.0,3.7,8.5,43.4,0.0,0.1,20.0,2.6,3.4,75.7,5.1,1.5,1.0,0.2,1.7
Monique Currie,2014.0,F,34,23.6,9.9,3.0,7.7,39.3,0.6,2.4,22.9,3.3,4.1,79.3,4.6,1.5,1.1,0.1,1.4
Erlana Larkins,2014.0,F,33,31.6,9.7,3.8,6.3,59.9,0.0,0.0,0.0,2.2,3.1,71.6,9.2,2.5,1.9,0.8,2.2
Jessica Breland,2014.0,F,32,26.5,9.7,4.2,9.2,46.1,0.0,0.1,0.0,1.3,1.7,75.9,6.8,1.9,0.9,1.8,2.2
Bria Hartley,2014.0,G,34,27.1,9.7,3.4,9.0,38.0,1.0,3.0,32.7,1.9,2.4,78.0,2.1,3.1,0.7,0.1,2.5
Kelsey Bone,2014.0,C,34,23.3,9.3,4.0,8.9,45.1,0.0,0.1,0.0,1.3,1.9,66.2,5.3,1.4,0.6,0.5,2.0
Courtney Paris,2014.0,C,34,27.6,9.2,4.1,7.1,57.4,0.0,0.0,0.0,1.0,2.1,49.3,10.2,1.1,0.8,1.1,1.1
Kia Vaughn,2014.0,C,33,24.1,9.0,4.1,8.9,45.8,0.0,0.1,0.0,0.8,1.2,63.4,6.3,1.2,0.9,0.5,1.4
Marissa Coleman,2014.0,G,34,24.0,8.9,3.1,8.0,39.1,1.3,3.3,38.1,1.4,1.8,81.7,3.3,1.1,0.8,0.3,1.2
Alana Beard,2014.0,G,33,27.7,8.5,3.6,7.8,46.3,0.2,0.8,28.6,1.1,1.4,74.5,2.6,2.5,1.1,0.5,1.8
Shoni Schimmel,2014.0,G,34,21.3,8.3,3.1,8.2,37.4,1.6,4.6,34.2,0.6,0.7,84.0,2.2,3.6,0.8,0.1,2.4
Becky Hammon,2014.0,G,32,24.5,8.3,2.8,6.8,41.7,1.5,3.7,39.8,1.1,1.1,100.0,1.4,4.2,0.4,0.1,1.7
Sophia Young-Malcolm,2014.0,F,34,24.2,8.2,3.4,7.2,46.9,0.0,0.1,0.0,1.4,2.1,65.8,4.6,1.5,1.1,0.2,0.8
Tanisha Wright,2014.0,G,29,25.5,8.0,2.8,6.6,41.7,0.2,0.6,27.8,2.3,2.9,79.5,2.3,3.6,0.9,0.1,2.1
Janel McCarville,2014.0,C,34,27.1,7.9,3.1,6.9,45.7,0.2,0.7,33.3,1.4,1.9,73.8,4.8,3.1,1.2,0.9,1.7
Jamierra Faulkner,2014.0,G,34,20.4,7.9,2.8,7.8,36.2,0.4,1.4,26.5,1.8,2.2,83.8,2.0,3.5,1.0,0.2,2.4
Anna Cruz,2014.0,G,34,27.1,7.7,3.2,6.9,46.2,0.5,1.4,34.7,0.8,1.1,69.2,3.5,3.6,1.3,0.3,2.1
Plenette Pierson,2014.0,F,33,17.4,7.2,2.4,5.3,45.5,0.0,0.1,0.0,2.4,2.8,85.9,3.1,1.2,0.4,0.1,1.4
Shekinna Stricklen,2014.0,F,33,17.5,7.2,2.6,6.1,43.0,1.4,3.7,38.5,0.6,0.8,73.1,2.1,0.7,0.6,0.1,0.8
Kara Lawson,2014.0,G,28,21.8,7.0,2.5,6.5,37.9,1.0,3.1,33.7,1.0,1.1,93.5,2.9,2.5,0.3,0.0,1.3
Natasha Howard,2014.0,F,34,16.9,7.0,2.9,6.5,44.3,0.0,0.0,0.0,1.2,2.0,59.4,3.1,0.6,0.8,0.7,1.5
Karima Christmas-Kelly,2014.0,F,34,21.6,6.9,2.0,5.9,34.3,0.8,2.1,38.6,2.1,2.8,75.5,3.6,0.9,0.9,0.3,0.7
Renee Montgomery,2014.0,G,33,16.2,6.7,2.4,6.3,37.3,1.1,3.2,33.0,0.9,1.2,77.5,0.8,2.4,0.6,0.1,1.3
Tamera Young,2014.0,F,34,27.6,6.7,2.9,6.6,43.8,0.0,0.0,0.0,0.9,1.6,55.6,5.1,1.2,0.7,0.1,0.8
Shenise Johnson,2014.0,G,30,17.9,6.0,2.3,5.7,40.0,0.5,1.4,37.2,1.0,1.2,82.9,3.3,1.4,1.0,0.1,1.1
Damiris Dantas,2014.0,F,30,21.8,6.0,2.4,4.6,51.1,0.0,0.0,100.0,1.3,1.7,76.0,5.1,1.2,0.5,0.4,0.8
Sugar Rodgers,2014.0,G,34,16.6,6.0,2.1,6.0,35.3,0.7,2.4,28.9,1.1,1.4,73.5,2.1,1.3,0.7,0.3,1.0
Stefanie Dolson,2014.0,C,34,18.4,6.0,2.6,5.2,49.2,0.0,0.1,0.0,0.9,1.1,81.1,4.4,1.2,0.4,1.1,1.7
Monica Wright,2014.0,G,24,18.4,5.8,2.2,5.2,41.9,0.2,0.8,27.8,1.3,1.8,73.8,2.2,2.1,0.7,0.3,1.5
Temeka Johnson,2014.0,G,34,17.0,5.8,2.1,5.9,36.1,0.5,1.5,34.0,1.0,1.1,92.1,2.1,3.2,0.7,0.1,1.6
Jordan Hooper,2014.0,F,34,19.0,5.8,2.0,5.6,35.4,1.4,4.1,32.9,0.4,0.6,71.4,2.4,0.6,0.4,0.2,0.8
Erin Phillips,2014.0,G,33,18.7,5.8,1.9,4.5,43.5,1.1,2.4,44.9,0.8,1.0,84.4,1.6,2.2,0.7,0.0,1.2
Lindsey Harding,2014.0,G,31,22.7,5.7,2.3,6.8,33.3,0.2,0.7,22.7,1.1,1.4,78.6,1.8,3.2,1.0,0.0,1.5
Roneeka Hodges,2014.0,F,34,21.2,5.3,1.9,5.4,34.6,0.9,3.3,25.9,0.7,0.9,79.3,1.8,1.4,0.5,0.1,0.6
Alex Montgomery,2014.0,F,34,21.9,5.3,2.1,5.0,40.9,0.8,1.9,43.1,0.3,0.5,68.8,3.9,1.0,0.7,0.2,1.1
Tan White,2014.0,G,34,17.8,4.9,1.9,4.7,40.0,0.6,1.9,33.3,0.5,0.7,73.9,1.8,1.1,0.9,0.1,0.9
Jayne Appel-Marinelli,2014.0,C,34,24.8,4.9,2.1,3.8,53.8,0.0,0.0,100.0,0.8,1.3,60.5,7.9,2.1,0.5,0.9,1.4
Jenna O'Hea,2014.0,G,29,13.4,4.8,1.8,4.0,43.6,1.0,2.5,40.3,0.3,0.3,90.0,1.3,1.0,0.4,0.3,0.8
Jasmine Thomas,2014.0,G,34,17.5,4.8,1.8,5.6,32.3,0.4,1.4,25.5,0.9,1.2,71.4,2.1,1.6,0.5,0.1,1.1
Tierra Ruffin-Pratt,2014.0,G,34,16.2,4.5,1.7,4.5,38.3,0.1,0.6,25.0,0.9,1.3,70.5,2.9,1.3,0.7,0.1,0.9
Aneika Henry-Morello,2014.0,F,34,12.8,4.5,1.9,3.2,58.2,0.0,0.0,0.0,0.7,1.1,67.6,3.4,0.3,0.2,0.7,0.9
Kelsey Griffin,2014.0,F,31,19.2,4.4,1.7,5.1,32.7,0.3,1.0,26.7,0.8,1.1,70.6,5.1,0.8,1.3,0.5,0.6
Devereaux Peters,2014.0,F,28,18.0,4.4,1.9,4.4,44.3,0.0,0.0,0.0,0.5,0.7,73.7,3.7,1.7,0.8,1.0,1.1
Mistie McCray Bass,2014.0,F,34,14.5,4.4,1.7,3.4,50.9,0.0,0.0,0.0,0.9,1.4,66.7,3.2,0.5,0.5,0.4,0.7
Avery Warley-Talbert,2014.0,C,28,15.8,4.2,1.6,3.4,48.9,0.0,0.0,0.0,0.9,1.1,83.3,3.8,0.1,0.4,0.4,1.0
Alysha Clark,2014.0,F,34,16.5,4.2,1.6,3.7,44.8,0.4,1.7,24.6,0.5,0.7,69.6,2.1,0.6,0.5,0.3,0.7
Tianna Hawkins,2014.0,F,34,10.6,4.2,1.7,3.5,47.9,0.1,0.5,29.4,0.7,0.9,71.9,3.0,0.5,0.4,0.2,1.0
Layshia Clarendon,2014.0,G,29,13.7,4.2,1.7,4.2,40.2,0.2,0.7,31.6,0.6,0.8,70.8,1.4,1.2,0.4,0.0,1.0
Armintie Herrington,2014.0,G,34,23.2,3.9,1.7,3.6,48.0,0.0,0.0,0.0,0.5,1.0,45.7,2.8,1.9,1.5,0.2,1.0
Shay Murphy,2014.0,F,27,12.1,3.9,1.4,3.4,42.4,0.4,1.1,32.3,0.7,0.9,75.0,1.7,1.1,0.7,0.1,0.3
Lynetta Kizer,2014.0,F,31,9.1,3.8,1.7,4.0,43.1,0.0,0.0,0.0,0.4,0.7,61.9,2.4,0.1,0.3,0.3,0.8
Noelle Quinn,2014.0,G,32,15.1,3.8,1.4,3.8,38.0,0.3,1.0,25.8,0.7,0.8,88.0,2.5,1.3,0.5,0.1,0.6
Sandrine Gruda,2014.0,F,34,12.0,3.8,1.5,3.8,39.2,0.0,0.0,0.0,0.8,1.1,66.7,3.0,0.6,0.4,0.1,1.3
Markeisha Gatling,2014.0,F,29,11.0,3.7,1.6,2.4,64.8,0.0,0.0,0.0,0.6,0.8,72.7,2.4,0.0,0.1,0.4,0.7
Maggie Lucas,2014.0,G,30,10.4,3.7,1.1,3.4,33.3,0.7,2.2,30.8,0.7,0.8,95.7,0.9,0.7,0.3,0.2,0.4
Shameka Christon,2014.0,F,31,10.9,3.6,1.2,3.5,35.5,0.8,2.6,30.9,0.4,0.5,80.0,1.3,0.2,0.2,0.1,0.3
Jennifer Lacy,2014.0,F,34,10.5,3.5,1.2,3.3,36.9,0.6,1.7,32.2,0.5,0.9,58.1,1.5,0.3,0.2,0.1,0.8
Sasha Goodlett,2014.0,C,34,12.9,3.4,1.3,2.9,44.4,0.0,0.0,0.0,0.8,1.1,72.2,2.4,0.3,0.3,0.5,0.6
Essence Carson,2014.0,F,26,14.0,3.3,1.3,3.8,35.4,0.3,0.9,29.2,0.4,0.5,83.3,1.7,0.9,0.3,0.2,1.0
Celine Dumerc,2014.0,G,28,18.8,3.3,1.0,3.4,29.5,0.4,1.9,23.1,0.9,1.3,69.4,2.0,4.0,1.1,0.1,2.1
Sydney Carter,2014.0,G,23,12.5,3.2,1.0,3.5,28.8,0.2,1.0,16.7,1.0,1.3,74.2,0.9,1.3,0.3,0.1,1.4
Kayla Alexander,2014.0,C,33,9.0,2.8,1.0,2.3,43.4,0.0,0.0,0.0,0.8,0.9,83.9,2.0,0.2,0.1,0.3,0.7
Asia Taylor,2014.0,F,22,7.9,2.7,1.0,1.8,52.5,0.0,0.0,0.0,0.8,1.1,75.0,1.4,0.5,0.2,0.0,0.7
Anete Jekabsone-Zogota,2014.0,G,32,10.7,2.7,1.0,3.0,32.0,0.5,1.5,30.6,0.3,0.3,100.0,0.5,0.9,0.2,0.0,0.8
Courtney Clements,2014.0,G,33,11.4,2.7,1.1,3.0,36.4,0.1,0.7,17.4,0.4,0.4,100.0,1.7,0.7,0.4,0.1,0.4
Vicki Baugh,2014.0,F,33,8.1,2.5,1.0,1.7,58.9,0.0,0.0,0.0,0.5,0.7,72.7,2.9,0.2,0.3,0.2,0.5
Matee Ajavon,2014.0,G,24,9.2,2.2,0.6,2.3,27.8,0.0,0.4,11.1,0.9,1.2,72.4,0.8,0.7,0.5,0.0,0.9
Angel Robinson,2014.0,F,25,7.2,2.2,0.9,1.6,57.5,0.0,0.0,0.0,0.3,0.4,80.0,1.4,0.3,0.2,0.3,0.8
Tricia Liston,2014.0,G,25,7.2,2.2,0.7,1.8,40.0,0.6,1.2,46.7,0.2,0.2,66.7,1.1,0.3,0.0,0.1,0.1
Nicole Powell,2014.0,F,26,13.0,2.2,0.7,2.7,26.1,0.5,2.0,25.0,0.3,0.3,77.8,1.8,0.3,0.8,0.1,0.4
Krystal Thomas,2014.0,C,21,8.4,2.0,0.9,1.6,54.5,0.0,0.0,0.0,0.3,0.7,42.9,2.2,0.4,0.2,0.7,0.6
Shanece McKinney,2014.0,C,24,6.8,1.8,0.7,1.6,42.1,0.0,0.0,0.0,0.5,1.0,50.0,1.4,0.3,0.1,0.2,0.3
